Response ID,Are you a professional software engineer?,Are you involved in open source software development efforts?,Software Development:Which of the following roles best describe your software engineering experience?,Software Testing:Which of the following roles best describe your software engineering experience?,Project Management:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,Other:Which of the following roles best describe your software engineering experience?,How many years of experience do you have in software development/testing/project management (decimals OK)?,Please describe your English proficiency level?,What is your current country of residence?,"Automated debugging has been an active area of research. An automated debugging approach takes as input a crash or a test case failure and generates a ranked list of suspicious program locations that may contain the root cause of the crash/failure. In your opinion, how important is this piece of research?",Why do you think this research is unimportant or unwise?,"Mathematical specification (e.g., temporal logic, Z ) of a program:When you start debugging, are the following resources available at your disposal?","Textual specification of a program:When you start debugging, are the following resources available at your disposal?","One test case/scenario that causes a failure/crash:When you start debugging, are the following resources available at your disposal?","Multiple test cases/scenarios that cause a failure/crash:When you start debugging, are the following resources available at your disposal?","A set of successful test cases that do not cause any failure:When you start debugging, are the following resources available at your disposal?","A textual description of a defect (e.g., a bug report):When you start debugging, are the following resources available at your disposal?",Pinpoint buggy component:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy class:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy method:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy basic block:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,Pinpoint buggy statement:An automated debugging tool pinpoints suspicious program elements. Which of the following granularity levels do you prefer?,"An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","Other:An automated debugging tool returns a ranked list of suspicious program locations (at your preferred granularity level) and one of them may contain the bug location. What is the minimum acceptable level before you consider the tool to successfully locate buggy code? E.g., if you only consider the tool to be successful only if a bug appears in the top 5 elements, please select ""Top 5"".","How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".","Other:How trustworthy an automated debugging tool must be before you will consider adoption? E.g., if you want the tool to successfully locate bugs (based on your success criterion defined in the previous question) at least 50% of the time, please select ""At least 50%"".",How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,Other:How scalable a trustworthy automated debugging tool must be before you will consider adoption? It should work at least for programs of size:,"How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Other:How efficient a trustworthy and scalable automated debugging tool must be before you will consider adoption? E.g., if you want the tool to produce results at most within 1 minute, select ""","Assume you have an efficient, scalable, and trustworthy automated debugging tool, will you adopt it?","Why won't you adopt an efficient, scalable, and trustworthy automated debugging tool?",An automated debugging tool must provide a rationale why some program locations are marked as suspicious.:How agreeable are you with the following statements:,"I will still adopt an efficient, scalable, and trustworthy automated debugging tool, even if it cannot provide rationales:How agreeable are you with the following statements:  ",An automated debugging tool must be integrated well to my favourite IDE.:How agreeable are you with the following statements:  ,"I will *still adopt* a an efficient, scalable, and trustworthy automated debugging tool, even if it is not integrated well to my favorite IDE. :How agreeable are you with the following statements:  ",Why the ability to provide rationales is very important in your decision to adopt an automated debugging tool?,Why integration to your favourite IDE is very important in your decision to adopt an automated debugging tool?,Do you have final suggestions/comments/opinions about automated debugging or this survey?
12,Yes,Yes,Software Development,,Project Management,,,3,Very Good,Bolivia,1,,Never,Rarely,Sometimes,All the time,All the time,Sometimes,,2,3,4,,3,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Disagree,Strongly Agree,,,"Given that there is no ""incorrect"" program but an incorrect (or misinterpreted) specification, an automated debugging tool can't know the expected outcome of the program and therefore can only limit itself to provide information about the source of a crash. How is this different from a detailed stack trace? Does any automated debugging tool exist at the moment which makes uses of machine readable specifications to better understand the expected behaviour?"
13,Yes,Yes,Software Development,,,,,7,Very Good,United States,2,,Rarely,Sometimes,All the time,Sometimes,All the time,Sometimes,1,,3,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Disagree,Agree,,,
14,Yes,Yes,Software Development,Software Testing,Project Management,,,12,Very Good,United States,2,,Rarely,Rarely,All the time,All the time,Sometimes,Sometimes,,,3,,,1,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Strongly Disagree,Agree,,,"I think that automated bugging is interesting for two distinct reasons.   Open source bug reports are often not bugs at all. Usually are often unsure of whether the results are a bug or ""they are just doing it wrong"". Often when a user is confident their claim represents a bug they don't include all the information required to reproduce it.  This could be a working test, steps to reproduce, conditions the error took place (platform, version) etc.   Having an automated tool would be useful to not only locate the source of a bug, but to evaluate the original claim of a bugs existence. Having a tool automatically confirm a bug (and perhaps where to look to fix it) would easily convince a maintainer that this bug report is worth looking at.  Considering my project has several hundred open issues (and several thousand closed ones) this distinction would make it easier to distinguish between good and bad bug reports and work much quicker."
15,Yes,Yes,Software Development,,Project Management,,,17,Good,France,2,,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,,,,4,5,2,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,No,would it be open source? Would it work with my main programming language? Would it work with distributed environments?  These are important aspects and I cannot commit to adoption without the answers. ,Strongly Agree,Neutral,Neutral,Agree,,,"Nice project, I'm looking forward to hearing from your research. "
17,Yes,Yes,Software Development,Software Testing,,,,17,Very Good,United States,2,,Never,Never,Rarely,Rarely,Sometimes,Rarely,,,3,,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; a day,,Yes,,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,I assume the automation would be evaluating various rules…to understand the rule(s) that flagged it would be helpful. I also believe it would help maintain the various rules (as they are associated with user facing descriptions),,"At present, I make use of binding_of_caller for my Ruby on Rails applications. This is helpful for when exceptions are encountered. However, you are looking for bugs (which may be faults in logic instead of faults in code)."
18,Yes,Yes,Software Development,Software Testing,Project Management,,,10,Good,China,2,,Sometimes,Sometimes,Sometimes,Sometimes,All the time,Sometimes,,,3,4,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Disagree,Strongly Agree,,,Question 8 has too few options.
19,Yes,Yes,Software Development,Software Testing,,,,8,Very Good,United States,2,,Never,Rarely,All the time,Rarely,Sometimes,Sometimes,,,3,4,,2,,Other,80,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Strongly Disagree,Agree,,,"Not all code is compiled code. An automated debugger must be able to deal with interpreted languages, like Python."
20,Yes,Yes,Software Development,Software Testing,,,,3,Very Good,United Kingdom,2,,Never,Rarely,Sometimes,Sometimes,All the time,Sometimes,,,3,,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Agree,Neutral,Strongly Disagree,Strongly Agree,,,"I often use languages that do not have classes or statements, so this is less valid."
21,Yes,Yes,Software Development,,Project Management,,,3,Very Good,United States,2,,Never,Rarely,All the time,Rarely,All the time,Sometimes,,,3,4,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Neutral,Strongly Agree,,,
22,Yes,Yes,Software Development,,Project Management,,,20,Very Good,Singapore,2,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,4,5,1,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; a day,,Yes,,Strongly Agree,Agree,Disagree,Strongly Agree,,,
23,No,Yes,Software Development,,,,,3.5,Very Good,United States,2,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,5,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Neutral,Neutral,,,
24,Yes,Yes,Software Development,,Project Management,,,6,Very Good,United Kingdom,2,,Sometimes,Sometimes,All the time,All the time,All the time,All the time,,,,,5,3,,At least 90%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Disagree,Strongly Agree,,,I don't use an IDE. mail@felixangell.com is my email if you have any questions...
25,Yes,Yes,Software Development,,,,,3,Mediocre,China,1,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,3,,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Disagree,Strongly Agree,Strongly Disagree,,,
26,Yes,Yes,Software Development,,,,,3,Very Good,United States,1,,Never,Rarely,Sometimes,Sometimes,All the time,All the time,,,,4,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,,,
27,Yes,Yes,Software Development,,,,,2,Good,France,2,,Never,Rarely,All the time,Sometimes,All the time,All the time,,,3,4,5,1,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Neutral,Strongly Agree,,,
28,Yes,Yes,Software Development,,,,,16,Very Good,United States,2,,Never,Rarely,Sometimes,Rarely,All the time,Sometimes,1,,3,,,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Disagree,Strongly Agree,,,
29,Yes,Yes,Software Development,,,,,3,Very Good,United States,2,,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Disagree,Strongly Agree,,,"I think automated debugging will only be useful if it is faster than finding the bug by hand. This means it is more useful if it works on huge codebases, and if it is very fast."
31,Yes,Yes,Software Development,,,,,30,Very Good,Australia,2,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,All the time,1,2,3,4,5,4,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Neutral,Agree,Agree,,,
32,Yes,Yes,Software Development,,Project Management,,,14,Very Good,United States,2,,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,,,,,,2,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Neutral,Agree,Disagree,Agree,,,
33,Yes,Yes,Software Development,,Project Management,,,5,Very Good,United States,2,,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,1,2,3,,,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Neutral,Agree,,,"It is worth exploring and promoting practices of simplicity in software engineering, e.g. literate programming and human centered development. Pursuing simplicity can greatly aid in debugging by making it easier to locate bugs within a smaller, clearly written codebase."
34,Yes,Yes,Software Development,,,,,10,Mediocre,Russia,2,,Rarely,Rarely,All the time,All the time,All the time,All the time,,,3,4,5,3,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Strongly Agree,Agree,,,
35,Yes,Yes,Software Development,,,,,10,Very Good,France,2,,Never,Never,Rarely,Never,Never,Sometimes,,,3,,,2,,At least 20%,,"1 - 1000,000 Lines of Code",,&lt; 1 hour,,Yes,,Disagree,Agree,Disagree,Strongly Agree,,,
36,Yes,Yes,Software Development,,,,,5,Good,Poland,4,"I doubt any automated software can explain the reason for things such as broken backwards compatibility, unclear documentation, what really should happen etc. They require human analysis.",Never,Rarely,Sometimes,Sometimes,All the time,All the time,,,,,,3,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Strongly Disagree,Agree,Neutral,What's the point of having an automated tool if it can't even explain why it thinks something is wrong?,,"I don't believe in automated debugging... For example, consider this: you retrieve an NHibernate collection of X inside a database transaction, and map it to some DTO using LINQ. You get ""error while retrieving X.Y: no session"" error. The reason is obvious to human: the mapping used X.Y and LINQ calls are lazy. By the time they're actually evaluated, the code goes out of transaction scope. How do you realize this in automated way? How automated tools *know* stuff?"
37,Yes,Yes,Software Development,Software Testing,,,,5,Mediocre,Russia,2,,Never,All the time,Sometimes,Sometimes,Sometimes,Sometimes,,2,3,4,5,2,,At least 50%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Disagree,Neutral,Agree,Because I can not trust to such tools without description of its decisions.,,"Would be nice if it will be pluggable to the build systems such as Gradle, Maven, SBT, etc. For example, auto-run after failed test on the CI."
38,Yes,Yes,Software Development,,,,,9,Good,France,3,Hairy bugs hide in interaction between various components and I don't think automated tools help much. I'm well aware of what static analysis can do and very few hard bugs would be solved with it.,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,1,,,,,4,,At least 5%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,No,I don't think you can do it.,Agree,Agree,Strongly Agree,Agree,,,I'm very very skeptic towards automated debugging until I hear success stories from regular businesses.
39,Yes,Yes,Software Development,Software Testing,,,,3,Very Good,United States,2,,Never,Sometimes,Sometimes,Rarely,Sometimes,All the time,1,,3,,5,3,,At least 20%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Strongly Agree,Agree,Neutral,Strongly Agree,,,A debugging or bug-finding tool should be easily integrable into other workflows. Portability and ability to be used with other tools is the most important characteristic for me when choosing the tools to integrate into a development process.
40,Yes,Yes,Software Development,Software Testing,,,,15,Very Good,United States,2,,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,,,3,,5,2,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Agree,Disagree,Agree,,,
41,No,Yes,Software Development,Software Testing,Project Management,,,3,Very Good,United States,2,,Sometimes,All the time,All the time,Sometimes,All the time,Sometimes,,2,3,4,,1,,At least 50%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Neutral,Strongly Agree,,,
42,Yes,Yes,Software Development,Software Testing,Project Management,,,3,Very Good,Brazil,2,,All the time,All the time,All the time,Sometimes,All the time,Rarely,,,,,5,2,,At least 50%,,1 - 1000 Lines of Code,,&lt; a day,,Yes,,Agree,Neutral,Disagree,Strongly Agree,,,
43,Yes,Yes,Software Development,Software Testing,Project Management,,,14,Very Good,United States,1,,Never,Rarely,Sometimes,Rarely,All the time,Sometimes,,,,,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 30 minutes,,Yes,,Neutral,Agree,Neutral,Agree,,,
45,Yes,No,Software Development,,,,,3,Very Good,United States,2,,Never,All the time,All the time,Sometimes,Sometimes,Sometimes,1,2,3,4,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,Within a fraction of a second,,Yes,,Strongly Agree,Disagree,Strongly Agree,Disagree,I want to understand why something went wrong.,"If it doesn't fit into my workflow, then it's more trouble than it's worth.",
46,Yes,Yes,Software Development,,,Other,system administration,9,Very Good,Somalia,1,,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,,3,,,2,,At least 90%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,,"IDE is our environment. If I can't add something into my environment, it's useless.","I might sound like a fantatic, but unless it's open source solution, I would not integrate it in my projects."
47,Yes,Yes,Software Development,,Project Management,,,5,Mediocre,Russia,2,,Never,All the time,Sometimes,Sometimes,All the time,Sometimes,,,3,4,5,1,,At least 50%,,"1 - 10,000 Lines of Code",,Other,about 10-15 minutes,Yes,,Strongly Agree,Disagree,Agree,Strongly Agree,"Because to make a decisions about bug fixing I want to *exactly* know why the automated tool ""thinks"" that the code have a bug. It may not be obvious in many cases linked to the flow analysis. The tool *should* provide the diagnostics so I can decide whether it is really a bug or not.",,I hope you guys will succeed in your efforts.
48,Yes,Yes,Software Development,,,,,1.8,Very Good,Australia,2,,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,,,3,,,2,,At least 90%,,"1 - 10,000 Lines of Code",,Within a fraction of a second,,Yes,,Strongly Agree,Neutral,Disagree,Agree,,,
49,Yes,Yes,Software Development,Software Testing,Project Management,,,10,Very Good,Canada,2,,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,2,3,,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Strongly Disagree,Strongly Agree,,,Curious to see such a tool in action!
50,Yes,Yes,Software Development,,,,,15,Very Good,United States,2,,Never,All the time,Sometimes,Sometimes,Sometimes,All the time,,,3,,,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Agree,Agree,,,evgenyg@gmail.com
51,Yes,Yes,Software Development,Software Testing,Project Management,,,7,Very Good,United States,2,,Never,Rarely,All the time,All the time,All the time,Rarely,,,3,4,5,2,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Neutral,Strongly Agree,Disagree,Agree,,,"Should be able to run from cmd-line. Doesn't need rational, just needs to give me suggestions of where to look at in the code (with many objects interacting, it is sometimes hard to determine the cause). Should work with most programming languages."
52,Yes,Yes,Software Development,,Project Management,,,10,Very Good,United States,2,,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,,,,4,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Strongly Disagree,Strongly Agree,,,
53,Yes,Yes,,,,,,27,Very Good,United Kingdom,2,,Never,Sometimes,Sometimes,Sometimes,Sometimes,All the time,,,,,5,2,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 30 minutes,,Yes,,Agree,Neutral,Neutral,Neutral,,,
54,Yes,Yes,Software Development,,,,,12,Good,United Kingdom,2,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,All the time,1,2,3,4,5,1,,At least 75%,,1 - 1000 Lines of Code,,&lt; 1 minute,,Yes,,Agree,Neutral,Agree,Neutral,,,"What languages or platforms does this tool support ? Can I also run it offline i.e. CLI, CI server, via SonarQube or SonarGraph, etc..? Collaborate with other tools ?"
55,Yes,Yes,Software Development,Software Testing,Project Management,,,16,Very Good,United States,2,,Never,Sometimes,All the time,Sometimes,All the time,All the time,1,2,3,4,5,1,,At least 50%,,"1 - 100,000 Lines of Code",,&lt; a day,,Yes,,Disagree,Agree,Disagree,Agree,,,
56,Yes,Yes,Software Development,Software Testing,,,,11,Very Good,United States,2,,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,1,2,3,4,5,2,,At least 90%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Agree,Disagree,Agree,,,
57,Yes,Yes,Software Development,,,,,10,Very Good,United States,2,,Rarely,Never,Sometimes,Sometimes,All the time,Sometimes,,,3,,,2,,At least 50%,,"1 - 1000,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Neutral,Agree,,,
58,Yes,Yes,Software Development,,,,,18,Very Good,United Kingdom,2,,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,1,2,3,,5,3,,At least 75%,,"1 - 100,000 Lines of Code",,&lt; 1 hour,,Yes,,Neutral,Neutral,Strongly Disagree,Strongly Agree,,,
60,Yes,Yes,Software Development,,,,,4,Very Good,Australia,2,,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,,,3,,5,2,,Other,60,"1 - 10,000 Lines of Code",,&lt; 1 minute,,Yes,,Strongly Agree,Neutral,Neutral,Neutral,,,
61,Yes,Yes,Software Development,,Project Management,,,10,Good,Belgium,2,,Sometimes,Sometimes,Rarely,Rarely,Sometimes,All the time,,,3,,,3,,At least 75%,,"1 - 10,000 Lines of Code",,&lt; 1 hour,,Yes,,Strongly Agree,Disagree,Neutral,Neutral,"People who have written the ""bug"" will otherwise not understand why their code could be wrong/marked as a possible bug.",,
62,Yes,Yes,Software Development,Software Testing,,Other,Software Design,15,Good,Spain,2,,Rarely,Rarely,Sometimes,Sometimes,Sometimes,All the time,,,3,,5,2,,At least 20%,,"1 - 100,000 Lines of Code",,&lt; 1 minute,,Yes,,Agree,Neutral,Agree,Neutral,,,
